tower,lat,lon,time_UTC,time_solar,variable,med3x3
US-Vcp,35.864231,-106.596664,2021-04-30 20:36:24,2021-04-30 13:30:00.800640,ST,18.989635467529297
US-Vcm,35.888447,-106.432114,2021-04-30 20:36:24,2021-04-30 13:30:40.292640,ST,31.483070373535156
US-Vcs,35.9193,-106.6142,2021-04-30 20:36:24,2021-04-30 13:29:56.592000,ST,22.23738670349121
US-Vcp,35.864231,-106.596664,2021-04-30 20:36:24,2021-04-30 13:30:00.800640,water,0.0
US-Vcm,35.888447,-106.432114,2021-04-30 20:36:24,2021-04-30 13:30:40.292640,water,0.0
US-Vcs,35.9193,-106.6142,2021-04-30 20:36:24,2021-04-30 13:29:56.592000,water,0.0
US-Vcp,35.864231,-106.596664,2021-04-30 20:36:24,2021-04-30 13:30:00.800640,LE,20.56452178955078
US-Vcm,35.888447,-106.432114,2021-04-30 20:36:24,2021-04-30 13:30:40.292640,LE,0.1216311901807785
US-Vcs,35.9193,-106.6142,2021-04-30 20:36:24,2021-04-30 13:29:56.592000,LE,18.200069427490234
US-Vcp,35.864231,-106.596664,2021-04-30 20:36:24,2021-04-30 13:30:00.800640,albedo,0.035456735640764236
US-Vcm,35.888447,-106.432114,2021-04-30 20:36:24,2021-04-30 13:30:40.292640,albedo,0.1558728665113449
US-Vcs,35.9193,-106.6142,2021-04-30 20:36:24,2021-04-30 13:29:56.592000,albedo,0.11671280115842819
US-Vcp,35.864231,-106.596664,2021-04-30 20:36:24,2021-04-30 13:30:00.800640,Ta,10.59371566772461
US-Vcm,35.888447,-106.432114,2021-04-30 20:36:24,2021-04-30 13:30:40.292640,Ta,21.619308471679688
US-Vcs,35.9193,-106.6142,2021-04-30 20:36:24,2021-04-30 13:29:56.592000,Ta,15.25032901763916
US-Vcp,35.864231,-106.596664,2021-04-30 20:36:24,2021-04-30 13:30:00.800640,ESI,0.0487576462328434
US-Vcm,35.888447,-106.432114,2021-04-30 20:36:24,2021-04-30 13:30:40.292640,ESI,0.0003127465897705406
US-Vcs,35.9193,-106.6142,2021-04-30 20:36:24,2021-04-30 13:29:56.592000,ESI,0.04468965902924538
US-Vcp,35.864231,-106.596664,2021-04-30 20:36:24,2021-04-30 13:30:00.800640,SWin,873.1299438476562
US-Vcm,35.888447,-106.432114,2021-04-30 20:36:24,2021-04-30 13:30:40.292640,SWin,875.7194213867188
US-Vcs,35.9193,-106.6142,2021-04-30 20:36:24,2021-04-30 13:29:56.592000,SWin,879.4813232421875
US-Vcp,35.864231,-106.596664,2021-04-30 20:36:24,2021-04-30 13:30:00.800640,SM,0.14206092059612274
US-Vcm,35.888447,-106.432114,2021-04-30 20:36:24,2021-04-30 13:30:40.292640,SM,0.10605951398611069
US-Vcs,35.9193,-106.6142,2021-04-30 20:36:24,2021-04-30 13:29:56.592000,SM,0.12856674194335938
US-Vcp,35.864231,-106.596664,2021-04-30 20:36:24,2021-04-30 13:30:00.800640,RH,0.1643330305814743
US-Vcm,35.888447,-106.432114,2021-04-30 20:36:24,2021-04-30 13:30:40.292640,RH,0.13298362493515015
US-Vcs,35.9193,-106.6142,2021-04-30 20:36:24,2021-04-30 13:29:56.592000,RH,0.14927712082862854
US-Vcp,35.864231,-106.596664,2021-04-30 20:36:24,2021-04-30 13:30:00.800640,emissivity,0.994926393032074
US-Vcm,35.888447,-106.432114,2021-04-30 20:36:24,2021-04-30 13:30:40.292640,emissivity,0.9609012603759766
US-Vcs,35.9193,-106.6142,2021-04-30 20:36:24,2021-04-30 13:29:56.592000,emissivity,0.9797945618629456
US-Vcp,35.864231,-106.596664,2021-04-30 20:36:24,2021-04-30 13:30:00.800640,ET,0.22022442519664764
US-Vcm,35.888447,-106.432114,2021-04-30 20:36:24,2021-04-30 13:30:40.292640,ET,0.0013038815231993794
US-Vcs,35.9193,-106.6142,2021-04-30 20:36:24,2021-04-30 13:29:56.592000,ET,0.19492168724536896
US-Vcp,35.864231,-106.596664,2021-04-30 20:36:24,2021-04-30 13:30:00.800640,Rn,687.7788696289062
US-Vcm,35.888447,-106.432114,2021-04-30 20:36:24,2021-04-30 13:30:40.292640,Rn,575.7039184570312
US-Vcs,35.9193,-106.6142,2021-04-30 20:36:24,2021-04-30 13:29:56.592000,Rn,631.3361206054688
US-Vcp,35.864231,-106.596664,2021-04-30 20:36:24,2021-04-30 13:30:00.800640,NDVI,0.7349523901939392
US-Vcm,35.888447,-106.432114,2021-04-30 20:36:24,2021-04-30 13:30:40.292640,NDVI,0.3563337028026581
US-Vcs,35.9193,-106.6142,2021-04-30 20:36:24,2021-04-30 13:29:56.592000,NDVI,0.5326432585716248
